comment_text,toxic
"You're a coward and a liar, disgusting behavior honestly.",1
"Get a life, you sad, pathetic troll.",1
"I think the design looks clean and modern, nice work.",0
Only a complete moron would post something this stupid.,1
"This recipe turned out delicious, thanks for posting it.",0
"Thank you so much for explaining this, it really helped me understand.",0
"Shut up already, nobody cares about your stupid opinion.",1
"Your presentation was clear and easy to follow, well done.",0
"Shut your mouth, you ignorant fool, you know nothing.",1
The documentation could be improved with a few more examples.,0
The product arrived on time and works exactly as described.,0
"You are a joke, nobody respects you, just quit already.",1
"I had a similar experience, thanks for sharing yours.",0
Let's keep the discussion respectful and focus on the facts.,0
Happy to help if you have any more questions about the setup.,0
Only an idiot would defend something this stupid.,1
"You are pathetic, weak, and honestly just an idiot.",1
Can you walk me through the steps to reproduce this issue?,0
"Thanks for the quick reply, that clears things up.",0
"You're an embarrassment to your family, honestly pathetic.",1
"You're a fraud and a liar, nobody should trust a word you say.",1
"You are the most annoying, useless person on this forum.",1
"You absolute clown, learn to code before embarrassing yourself.",1
Thanks for volunteering to organize the event this year.,0
Could we reschedule the call to tomorrow afternoon instead?,0
I despise how arrogant and stupid you sound right now.,1
Let's brainstorm some ideas for the next sprint planning session.,0
"You clearly have no brain, this comment proves it.",1
The training session was informative and well organized.,0
"Your opinion is trash and so are you, just shut up.",1
"I hope you fail, you disgusting waste of space.",1
"Shut up, moron, your comment adds zero value here.",1
Can someone recommend a good beginner tutorial for this topic?,0
"The new update fixed the bug I reported last week, thank you.",0
It was nice meeting everyone at the conference yesterday.,0
"You're an absolute waste of oxygen, stop posting.",1
I appreciate you taking the time to review my code.,0
Great article! Looking forward to reading more from you.,0
"I appreciate the feedback, I will make those changes soon.",0
"Go away, you pathetic little troll, nobody wants you here.",1
Stop spamming this forum with your idiotic nonsense.,1
"Nobody likes you, you pathetic attention seeker.",1
"Nobody asked for your garbage opinion, keep it to yourself, loser.",1
"You are so incredibly dumb, it's a wonder you can even type.",1
You are worthless and everyone here despises you.,1
Please let me know if you need any more information from my side.,0
I think we should schedule a follow-up meeting to discuss next steps.,0
"The weather has been lovely this week, perfect for a walk.",0
You people are all brainless idiots who can't think for yourselves.,1
"Everyone here thinks you're a pathetic, whiny little baby.",1
"Have a great weekend, see everyone on Monday!",0
You're a disgusting human being and everyone can see it.,1
"This is the dumbest article I have ever read, the writer is a moron.",1
"I disagree with your point, but I appreciate the detailed explanation.",0
You're a disgrace and an embarrassment to this community.,1
This is the worst take I've ever seen from a total imbecile.,1
I love how the community here is so supportive and helpful.,0
I appreciate your patience while we sort out this issue.,0
"I can't stand how stupid and arrogant you are, just stop talking.",1
"Congratulations on your promotion, you truly earned it!",0
You're an idiot and everything you say is nonsense.,1
"Stop being so annoying, you absolute idiot.",1
"What a worthless piece of trash this product is, and so is the seller.",1
"The movie was okay, not the best but still enjoyable.",0
I found this tutorial very clear and beginner friendly.,0
"Delete your account, you brainless clown, you add nothing of value.",1
I really admire how you handled that difficult situation calmly.,0
This app is garbage and whoever built it is a talentless idiot.,1
The library has a great collection of programming books.,0
This is trash content from a talentless hack.,1
"You are such an idiot, how do you not understand this simple thing.",1
"I updated the ticket with the latest logs, please check.",0
The customer support team resolved my issue quickly and politely.,0
"The support article answered all my questions, thank you.",0
Could you please share the source for this claim?,0
"Wishing you a speedy recovery, take care of yourself.",0
"Get out of here with your garbage opinions, loser.",1
I think there might be a small typo in paragraph two.,0
The food at the new restaurant downtown is amazing.,0
"Our team achieved the quarterly target, great job everyone.",0
"I'm not sure I agree, could you elaborate a bit more?",0
"What a moronic thing to say, are you always this dumb?",1
This whole team is a bunch of incompetent losers.,1
Please review the attached document and share your comments.,0
The onboarding process was smooth and well documented.,0
"You're a pathetic excuse for a developer, this code is garbage.",1
This is a well-written and balanced summary of the issue.,0
"I respectfully disagree, here is some data that supports my view.",0
"This is garbage, you're garbage, everything about this is garbage.",1
Looking forward to collaborating with the team on this project.,0
"That's an interesting perspective, I hadn't thought of it that way.",0
You are so stupid it actually hurts to read your comment.,1
"What an absolute idiot, I can't believe how dumb this take is.",1
You are disgusting and everyone should ignore your trash takes.,1
"I hope you get fired, you lazy useless excuse for an employee.",1
You are a talentless hack who should never be allowed to write again.,1
It's always a pleasure working with such a dedicated team.,0
"Get lost, you clueless loser, you're wasting everyone's time.",1
"Everyone thinks you're an incompetent fool, just admit it.",1
"The bug fix works perfectly now, thanks for the quick turnaround.",0
